bank,path,blob_sha1,headline_status,normalized,compile_gate,compile_codes,voice_leaf_gate,fx_leaves_gate,fx_rng_gate,wavetable_leaf_gate,routing_leaves_gate,fidelity_contract_gate,essentiality_listening,fx_required,b4_prediction,slates,reasons
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Basses/Electric Bass.fxp,9bb66bccc849e0f980655b161f9ade2f83665e7b,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,Delay;Distortion;Graphic EQ;Graphic EQ;Resonator,unresolved,,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Bells/Chime Bell.fxp,3192c296df0e2474ecab843785060bcc7724b357,unsupported,PASS,FAIL,oscillator_family_not_in_bundle,,,,,,,,Delay;EQ,unsupported,,scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Euphonium Ensemble.fxp,e5cca3589f6573335f639aeafa675985f49cbdb3,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,Ensemble;Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Euphonium.fxp,832942856e4853f77b2e8aa840e6bbc96f805264,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Flugelhorn Ensemble.fxp,fc7d29c017fe39df53a11e1a65f341958fc5b806,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,EQ;EQ;Ensemble;Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Flugelhorn.fxp,7aa486688087f04a236ef7c8cc4a2b20150b2e7b,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/French Horn Ensemble.fxp,770fd20523d0fec9c869c9323d78f522f375a85c,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,EQ;Ensemble;Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/French Horn.fxp,98fa0c8bf8120696e0133c82e213f1db19ae0baf,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Trombone Ensemble.fxp,7b7c03f9575bce4935601982999c02e90cce158e,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,Ensemble;Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Trombone.fxp,cf374b866217a1f123915a99d2f9f413302abf9c,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Trumpet Ensemble.fxp,c8cc14ca1915d55f60355c1a26b331e560536c85,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported,,,,,,,,EQ;EQ;Ensemble;Graphic EQ;Resonator;Reverb 2,unresolved,,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Trumpet.fxp,e90de18aa5e3b4e0a86e40a7ad0a6cc4bba73397,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Tuba Ensemble.fxp,6ce0c761c0f42de8d1d5fe3503e4b91c9dc6edd1,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,Graphic EQ;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Tuba.fxp,7a201f308f404291d8a773f5c575578b54517b96,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,,,,,,Graphic EQ;Reverb 2,unsupported,,scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Brush Snare.fxp,aee7d4157acb8236e4ae006f6ea4ef2e72cea5d0,unsupported,PASS,FAIL,airwindows_algorithm_not_selected;effect_class_not_in_bundle;oscillator_family_not_in_bundle,,,,,,,,Airwindows:Point(aw7);Graphic EQ;Resonator;Reverb 2,unsupported,,scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Crash.fxp,bddc3398b7737601bbd9fb6d2d25e7ee7dce9774,unresolved,PASS,NO_VERDICT,airwindows_algorithm_not_selected;effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,BLOCKED,Airwindows:Pop(aw8);Delay;Graphic EQ;Resonator,unresolved,slate-256-contributor-lean,scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Hi-Hat.fxp,3fe7bfa88faeb24203d8a57b08d8fac3030dc08e,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,Delay;Graphic EQ,unresolved,,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Kick Drum.fxp,884146764ede760e65abe8ac846d63dcb0910270,unsupported,PASS,FAIL,airwindows_algorithm_not_selected;effect_class_not_in_bundle;oscillator_family_not_in_bundle,,,,,,,BLOCKED,Airwindows:AD Clip(aw0);Airwindows:Logical(aw4);Graphic EQ;Reverb 2,unsupported,slate-256-contributor-lean,scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Reverse Cymbal.fxp,2024363e48a47d5b56845299ac0dfac12684d1ef,unsupported,PASS,FAIL,airwindows_algorithm_not_selected;effect_class_not_in_bundle;oscillator_family_not_in_bundle,,,,,,,BLOCKED,Airwindows:Pop(aw8);Delay;Graphic EQ;Resonator,unsupported,slate-256-contributor-lean,scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Ride.fxp,eaabad1c97c2bb0c8da68b120cb21677ad6e6344,unresolved,PASS,NO_VERDICT,airwindows_algorithm_not_selected;effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,BLOCKED,Airwindows:Pop(aw8);Delay;Graphic EQ;Resonator,unresolved,slate-256-contributor-lean,scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Snare Drum.fxp,14ebdeda2ec2220ba66ae9610d064aabdf4633e9,unsupported,PASS,FAIL,airwindows_algorithm_not_selected;effect_class_not_in_bundle,,,,,,,BLOCKED,Airwindows:Logical(aw4);Airwindows:Pop(aw8);EQ;Graphic EQ;Resonator;Reverb 2,unsupported,slate-256-balanced;slate-256-contributor-lean;slate-256-factory-lean,scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Tom.fxp,310c0420a0cd36c3e094fc2993154f7a9c385f43,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,Exciter;Graphic EQ;Reverb 2,unresolved,,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Wood Percussion.fxp,e75d4e6757b6432272cbb8a9cb2897b5117059cf,unsupported,PASS,FAIL,airwindows_algorithm_not_selected;effect_class_not_in_bundle,,,,,,,,Airwindows:Point(aw7);Delay;EQ;Reverb 2,unsupported,,scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Acoustic Guitar.fxp,ec8c9c563f78744747945d12694b6c332b575fdf,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle;polylimit_reduction_required,,,,,,,,Graphic EQ;Resonator;Reverb 2,unresolved,,also_requires_edit:polylimit_reduction_required;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle;scan_code:polylimit_reduction_required
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Bright Steel String.fxp,aa03b95dbc5848ba7563e8a9cd74348bedc6471f,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle;polylimit_reduction_required;send_levels_not_exported,,,,,,,,Delay;Delay;EQ;Graphic EQ;Graphic EQ;Resonator;Reverb 2,unresolved,,also_requires_edit:polylimit_reduction_required;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle;scan_code:polylimit_reduction_required;scan_code:send_levels_not_exported
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Distortion Velo.fxp,3d8d75c090dd38ab7b4adeaf844622b5d1279df8,unresolved,PASS,NO_VERDICT,airwindows_algorithm_not_selected;effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,Airwindows:Block Party(aw1);Distortion;Graphic EQ;Reverb 2,unresolved,,scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Electric Guitar.fxp,bc6a7d60cb951af59c30686ba4f15ff7de3d56d6,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,Delay;Distortion;EQ;Graphic EQ;Resonator,unresolved,,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Muted Electric Guitar.fxp,597470224470af338eca76937d58c5785df901e8,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,Airwindows:Iron Oxide(aw41);Delay;Graphic EQ;Resonator;Reverb 2,unresolved,,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Steel String Guitar.fxp,13c7a4fe9c90b2a5cdb7e0219b5681538ebcf541,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,Delay;Graphic EQ;Graphic EQ;Resonator;Reverb 2,unresolved,,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Accordion Lead.fxp,a70693243974c3aecde87962639c915283d26868,unresolved,PASS,PASS,,NOT_RUN,STALE,,,,STALE,,EQ,supported,,"stale_downgrade:never-reported-supported;stale_gate:fidelity_freeze(evidence hash mismatch for reports/sxt-023/EVIDENCE.md: expected cadf031ad410597ae9290ed01ad3032ea2d5168a1b2e34f10d92c51fdf046cb7, found 986207e49417240cae5f7f65dbc085b699732a74c65042e8d8d7649edfc0af2d);stale_leaf:fx:EQ(evidence hash mismatch for reports/sxt-023/EVIDENCE.md: expected cadf031ad410597ae9290ed01ad3032ea2d5168a1b2e34f10d92c51fdf046cb7, found 986207e49417240cae5f7f65dbc085b699732a74c65042e8d8d7649edfc0af2d);voice_leaf_scope_exceeded:outside-fixture-verified-set(SXT-026a;voice-family-leaves-#66-#77-backlog)"
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Acoordion Basses.fxp,a765202508e7522972196640c79dfd3fbb90f292,unresolved,PASS,PASS,,NOT_RUN,STALE,,,NOT_RUN,STALE,,EQ;EQ,supported,,"leaf_not_landed:routing:bins1(SXT-028h#60);stale_downgrade:never-reported-supported;stale_gate:fidelity_freeze(evidence hash mismatch for reports/sxt-023/EVIDENCE.md: expected cadf031ad410597ae9290ed01ad3032ea2d5168a1b2e34f10d92c51fdf046cb7, found 986207e49417240cae5f7f65dbc085b699732a74c65042e8d8d7649edfc0af2d);stale_leaf:fx:EQ(evidence hash mismatch for reports/sxt-023/EVIDENCE.md: expected cadf031ad410597ae9290ed01ad3032ea2d5168a1b2e34f10d92c51fdf046cb7, found 986207e49417240cae5f7f65dbc085b699732a74c65042e8d8d7649edfc0af2d);voice_leaf_scope_exceeded:outside-fixture-verified-set(SXT-026a;voice-family-leaves-#66-#77-backlog)"
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Grand Piano.fxp,f1d71fd1c0100c4a2b55da3e5ce50ea7261061eb,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;polylimit_reduction_required,,,,,,,,EQ;Graphic EQ;Reverb 2,unresolved,,also_requires_edit:polylimit_reduction_required;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:polylimit_reduction_required
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Soft Piano.fxp,6402a0525235afce0046b34621f773179a6fb0e6,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle;polylimit_reduction_required,,,,,,,BLOCKED,Convolution;EQ;EQ;Graphic EQ;Resonator,unresolved,slate-256-balanced;slate-256-contributor-lean;slate-256-factory-lean,also_requires_edit:polylimit_reduction_required;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle;scan_code:polylimit_reduction_required
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Keys/Upright Piano.fxp,903085c83d6de4f8953241c71e409117455171a4,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle;polylimit_reduction_required,,,,,,,,Airwindows:To Tape(aw42);Graphic EQ;Reverb 2;Reverb 2,unresolved,,also_requires_edit:polylimit_reduction_required;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle;scan_code:polylimit_reduction_required
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Pads/Winter Breath.fxp,59a29d3c061e224354bcd095931478b528dca632,unsupported,PASS,FAIL,airwindows_algorithm_not_selected;effect_class_not_in_bundle;oscillator_family_not_in_bundle;polylimit_reduction_required,,,,,,,BLOCKED,Airwindows:Butter Comp(aw2);Airwindows:Chamber(aw54);Chorus;Delay;Delay;Graphic EQ;Reverb 1,unsupported,slate-256-balanced;slate-256-contributor-lean;slate-256-factory-lean,also_requires_edit:polylimit_reduction_required;scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:oscillator_family_not_in_bundle;scan_code:polylimit_reduction_required
